"LOCATION","Country","SUBJECT","Subject","GEO_COVERAGE","Geographical coverage","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","RPEX01","RPPI - Sales of existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.619239953,,
"BEL","Belgium","RPEX01","RPPI - Sales of existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.279426656,,
"BEL","Belgium","RPEX01","RPPI - Sales of existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.432652799,,
"CZE","Czech Republic","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",95.25,,
"CZE","Czech Republic","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",93.85,,
"CZE","Czech Republic","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",93.875,,
"CZE","Czech Republic","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",96.175,,
"CZE","Czech Republic","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"CZE","Czech Republic","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",107.15,,
"CZE","Czech Republic","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",119.7,,
"CZE","Czech Republic","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",95.75,,
"CZE","Czech Republic","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",93.625,,
"CZE","Czech Republic","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",93.7,,
"CZE","Czech Republic","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",95.375,,
"CZE","Czech Republic","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
